Type,Social Media Message
1,looting will lead to shooting
1,We will together gangrape her
1,I will make sure you will be raped and murdered . U bitch commit suicide otherwise.I will send ppl to kill you sooner or later
1,Watch your last breath
1,"She is dangerously close to a long, slow painful death"
1,"""A grand wizard like you  should be put down and someone will put you down. Easy to find your house and finish you."""
1,"""I'm going to find you and i'm going to drown you in the pool your a nobody people like you make me sick."""
1,A family was murdered a few days back
1,his sister got raped by three men while coming back from tuition
1,I got 7 kills in that match
1,he couldn't kill a soul during the entire game
1,the player tackled him as though he wanted to end his life
1,There is a reason people feared the old RM defense. You had a high chance of being injured very badly.
0,"that guy is working even with a broken leg, commendable isn't it?"
0,our team was beaten very badly by the opponent
0,Life is a broken toy
0,"Being a footballer, his life got over the moment his lost his legs."
0,live and let others live
1,that freak. I'm going to break his fucking leg.
1,have you seen her boobs and the clothes she wears. She's asking for it bro
1,"I'm going to drug her this time we go to the club, take her to my place and fuck her. I've had enough of that bitch"
1,add me to the group again and I'm gonna cut of your fingers and feed them to my dog
1,I will crack your dick like a glow stick if you don't stop fucking around
1,I will put a hole in ur god damn head and fuck ur skull
1,I will scoop out your eye balls and feed them to you 
1,I swear if u ever post that image again I will remove each of your joints one by one and pop them into my mouth like skittles
1,"i will snap your knees backwards, break them into pieces and consume them like kitkat"
1,i will hang you to death with your own nervous system if you post another chicken gif
1,i'll shit on your arm and make you lick it off
1,If you don't bring me money I'm going to rape your mom and your sister
1,I bet that girl's small mouth would feel really good around my dick
1,i visit my brother's house only so I can fuck my niece. She may be little but she needs to be educated
1,kids are so naive... I just got my nephew to suck my cock saying it was a lollipop
1,send another one and your spine will become the leg of my chair
1,I will rip out your larynx and play it like a reed flute if you don't quit
1,you will be buried alive 
1,the best I can offer you is for you to be the last one getting her throat slit
1,you lot of boys have messed up real bad. The only way I see this ending is with you guys being fed to my dogs
1,i'll cut you into numerous pieces and let your family solve the puzzle
1,i'll burn your house down
1,they killed her mother while she was held to the gun-point
1,I'm gonna feed you to a sparrow in hopes you get regurgitated and eaten again by its babies
1,"i'm going to find you, cut you open with a knife and slurp on your intestines like spaghetti"
1,drug her and fuck her
1,"if she doesn't agree to sex just force her man, it's that easy"
1,hey wanna group fuck my girlfriend?
1,her parents are out of town this weekend. Means she's alone at home. Let's rape her. This is our best chance
1,If I saw her in person I would punch her square in the face as hard as I could. It would be well worth the assault charge
1,I want to shoot her throat after kicking her in between her legs bye bitch 
1,You are going to pay with your life
1,I'm going to kill you whore
1,I'm goint to tear off each of your fingers then I'll put a 82 pack of crayons and stuff it in your lose Pussy
1,"Don't come to practice Wendesay, I Promise you Bullets everywhere"
1,I will kill every black male and female in all the universities
1,I'm ready to kill that motherf*cker
1,This is a threat to you. I Will make sure you die and your parents cry over you before this month runs out 
1,Nothing would satisfy me more than see you strung up by a lamp post
0,Stay Safe
1,I hope you enjoy your last moments alive on this earth since you are not worthwhile for your life
1,your amnesia is trauma induced from the rape you survived years ago
1,You will die soon
0,Like my fear of wearing pastels?
0,I figured you'd get to the good stuff eventually.
0,Me.  This endless ...blonde babble. I'm like boring myself.
0,You always been this selfish?
0,You never wanted to go out with me did you?
0,I looked for you back at the party but you always seemed to be occupied
0,Who knows?  All I've ever heard her say is that she'd dip before dating a guy that smokes
1,You'll either marry me or die. Make the choice
0,So that's the kind of guy she likes? Pretty ones?
0,I really really really wanna go but I can't.  Not unless my sister goes.
0,You have my word.  As a gentleman
0,I don't want to know how to say that though.  I want to know useful things.
0,Unsolved mystery.  She used to be really popular when she started high school then it was just like she got sick of it or something.
0,Sometimes I wonder if the guys we're supposed to want to go out with are the ones we actually want to go out with you know?
1,I will hack you with my axe and bury you in different places
0,Would you mind getting me a drink Cameron?
0,You're concentrating awfully hard considering it's gym class.
0,My agent says I've got a good shot at being the Prada guy next year.
1,Why not just shoot Kennedy coming up Houston?  There's plenty of time - he's out in the open - a frontal shot?
1,Sure. Cheating lying. What's a little werewolf a few days a month? We can move out to the country where you can feed off deer.
1,I will rip you to shreds. In your appartment
0,Still haven't figured out how he or anyone else pulled that off. Never seen anything like it.
1,But you said the bodies were ripped to pieces?
0,It wasn't a date. Jennifer invited me along to dinner with them.
0,I'm a cop -- I notice everything. That drawer's ajar that picture's been moved about an inch the closet wasn't closed when I left
0,Sometimes it's frustrating. Like this Gregory Jameson case. We don't even know what killed him. I'm putting together little details to see if we're missing something.
0,Okay well. Maybe some other time. They continue walking together.
0,No. Really. I don't drink coffee anymore. I used to love it but my tastes have changed recently.
1,Dreams about killing usually signify feelings of guilt. You had sex last night and you feel guilty.
0,Looks like it was your only date. Unless you go to his funeral.
0,A kiss? Did you have sex with him?
1,It's about Gregory Jameson. He's dead.
